020	0
030	1
042	2
043	3
084	4
014	5
173	6
051	7
1724	8
071	9
0841	10
110	11
172	12
0874	13
131	14
112	15
010	16
012	17
013	18
040	19
100	20
018	21
193	22
190	23
111	24
031	25
044	26
060	27
141	28
073	29
046	30
130	31
026	32
081	33
036	34
181	35
120	36
090	37
080	38
1711	39
129	40
182	41
191	42
061	43
192	44
015	45
114	46
045	47
0831	48
127	49
183	50
115	51
017	52
1123	53
163	54
194	55
027	56
0871	57
070	58
050	59
175	60
113	61
174	62
057	63
1384	64
180	65
075	66
160	67
033	68
122	69
145	70
072	71
016	72
0214	73
140	74
138	75
128	76
1053	77
195	78
1124	79
1712	80
011	81
164	82
161	83
1243	84
0842	85
105	86
1823	87
041	88
154	89
053	90
023	91
171	92
143	93
022	94
1821	95
035	96
150	97
139	98
0311	99
085	100
0231	101
170	102
052	103
0332	104
028	105
133	106
1831	107
025	108
064	109
1822	110
0353	111
186	112
0331	113
021	114
1721	115
125	116
024	117
1121	118
1014	119
202	120
0241	121
162	122
124	123
152	124
0356	125
1722	126
0213	127
1312	128
032	129
134	130
151	131
166	132
034	133
142	134
153	135
144	136
091	137
062	138
1041	139
054	140
1723	141
1056	142
1044	143
185	144
0233	145
086	146
0334	147
1241	148
196	149
083	150
0814	151
203	152
1383	153
0234	154
0833	155
074	156
055	157
1313	158
037	159
0861	160
201	161
056	162
1043	163
0211	164
106	165
0253	166
137	167
0344	168
019	169
1246	170
039	171
0256	172
1832	173
1411	174
1244	175
082	176
0312	177
1122	178
0232	179
101	180
1311	181
1013	182
0862	183
1621	184
1431	185
087	186
063	187
0341	188
0872	189
0243	190
0333	191
092	192
0242	193
1382	194
0244	195
094	196
0873	197
1662	198
0834	199
102	200
1233	201
093	202
184	203
038	204
1031	205
107	206
123	207
1125	208
1211	209
0811	210
1412	211
1622	212
0351	213
0254	214
0812	215
0314	216
121	217
1213	218
1042	219
116	220
0251	221
136	222
1231	223
132	224
0355	225
0212	226
0863	227
1054	228
0813	229
1033	230
1661	231
0255	232
1413	233
1012	234
1232	235
165	236
1222	237
126	238
1623	239
